TAXON 1,INTERACTION TYPE,BODY PART,TAXON 2,INTERACTION TITLE,REPORTED FOR BOGOTÁ,REMARKS,SOURCE TYPE 1,REFERENCE 1,SOURCE TYPE 2,REFERENCE 2,SOURCE TYPE 3,REFERENCE 3,SOURCE TYPE 4,REFERENCE 4,SOURCE TYPE 5,REFERENCE 5,SOURCE TYPE 6,REFERENCE 6
Melanchroia chephise,Consume,la hoja,Phyllanthus salviifolius,HERBIVORÍA PARCIAL,SI,Interacción exclusivamente reportada para las larvas,Literatura Gris,"Caicedo-Hernández, J.C., Rodríguez-Villamil, D.R., Henao-Banol, E.R., Hernández-Schmidt, M. (2017) Mariposas y polillas diurnas de los parques urbanos el Virrey y Chicó y algunas de sus plantas hospederas. Bogotá, Colombia.",,,,,,,,,,
Sangalopsis microleuca,Anida en,la hoja,Croton bogotanus,ANIDAMIENTO,SI,,Literatura Gris,"Caicedo-Hernández, J.C., Rodríguez-Villamil, D.R., Henao-Banol, E.R., Hernández-Schmidt, M. (2017) Mariposas y polillas diurnas de los parques urbanos el Virrey y Chicó y algunas de sus plantas hospederas. Bogotá, Colombia.",,,,,,,,,,
Sangalopsis microleuca,Consume,la hoja,Croton bogotanus,HERBIVORÍA PARCIAL,SI,Interacción exclusivamente reportada para las larvas,Literatura Gris,"Caicedo-Hernández, J.C., Rodríguez-Villamil, D.R., Henao-Banol, E.R., Hernández-Schmidt, M. (2017) Mariposas y polillas diurnas de los parques urbanos el Virrey y Chicó y algunas de sus plantas hospederas. Bogotá, Colombia.",,,,,,,,,,
Sangalopsis microleuca,Anida en,la hoja,Croton mutisianus,ANIDAMIENTO,SI,,Literatura Gris,"Caicedo-Hernández, J.C., Rodríguez-Villamil, D.R., Henao-Banol, E.R., Hernández-Schmidt, M. (2017) Mariposas y polillas diurnas de los parques urbanos el Virrey y Chicó y algunas de sus plantas hospederas. Bogotá, Colombia.",,,,,,,,,,
Sangalopsis microleuca,Consume,la hoja,Croton mutisianus,HERBIVORÍA PARCIAL,SI,Interacción exclusivamente reportada para las larvas,Literatura Gris,"Caicedo-Hernández, J.C., Rodríguez-Villamil, D.R., Henao-Banol, E.R., Hernández-Schmidt, M. (2017) Mariposas y polillas diurnas de los parques urbanos el Virrey y Chicó y algunas de sus plantas hospederas. Bogotá, Colombia.",,,,,,,,,,
Sangalopsis veliterna,Consume,la hoja,Croton bogotanus,HERBIVORÍA PARCIAL,SI,Interacción exclusivamente reportada para las larvas,Artículo Científico,"Vega-L., J.J., Torres-A., J.L., Romero-P., L.J. (2012) Efecto de los hongos entomopatógenos Metarhizium anisopliae (Metchnikoff)
Sorokin Y Beauveria bassiana (Bals.-Criv.) Vuill. sobre larvas de
Sangalopsis veliterna Druce (Lepitóptera: Geometridae). Colombia Forestal 15 (Supl. 1), 30.",,,,,,,,,,
Sangalopsis veliterna,Anida en,la hoja,Croton bogotanus,ANIDAMIENTO,SI,,Artículo Científico,"Vega-L., J.J., Torres-A., J.L., Romero-P., L.J. (2012) Efecto de los hongos entomopatógenos Metarhizium anisopliae (Metchnikoff)
Sorokin Y Beauveria bassiana (Bals.-Criv.) Vuill. sobre larvas de
Sangalopsis veliterna Druce (Lepitóptera: Geometridae). Colombia Forestal 15 (Supl. 1), 30.",,,,,,,,,,
Acrocercops nolckeniella,Consume a,la hoja,Brugmansia sp.,HERBIVORÍA PARCIAL,SI,Las larvas son minadoras de las hojas del borrachero,Artículo Científico,"Arévalo Maldonado, H.A. (2014) Caracterización morfológica y del daño de Gracillariidae (Lepidoptera: Gracillariidae) en plantas de importancia económica en Colombia. Tésis de Maestría. Universidad Nacional de Colombia, Bogotá.",,,,,,,,,,
Acrocercops nolckeniella,Anida en,la hoja,Brugmansia sp.,ANIDAMIENTO,SI,,Artículo Científico,"Arévalo Maldonado, H.A. (2014) Caracterización morfológica y del daño de Gracillariidae (Lepidoptera: Gracillariidae) en plantas de importancia económica en Colombia. Tésis de Maestría. Universidad Nacional de Colombia, Bogotá.",,,,,,,,,,
Caloptilia camaronae,Consume a,la hoja,Macleania rupestris,HERBIVORÍA PARCIAL,SI,Las larvas son minadoras de las hojas de la uva camarona,Artículo Científico,"Arévalo Maldonado, H.A. (2014) Caracterización morfológica y del daño de Gracillariidae (Lepidoptera: Gracillariidae) en plantas de importancia económica en Colombia. Tésis de Maestría. Universidad Nacional de Colombia, Bogotá.",,,,,,,,,,
Caloptilia camaronae,Anida en,la hoja,Macleania rupestris,ANIDAMIENTO,SI,,Artículo Científico,"Arévalo Maldonado, H.A. (2014) Caracterización morfológica y del daño de Gracillariidae (Lepidoptera: Gracillariidae) en plantas de importancia económica en Colombia. Tésis de Maestría. Universidad Nacional de Colombia, Bogotá.",,,,,,,,,,
Achlyodes pallida,Anida en,la hoja,Citrus sp.,ANIDAMIENTO,SI,,Literatura Gris,"Caicedo-Hernández, J.C., Rodríguez-Villamil, D.R., Henao-Banol, E.R., Hernández-Schmidt, M. (2017) Mariposas y polillas diurnas de los parques urbanos el Virrey y Chicó y algunas de sus plantas hospederas. Bogotá, Colombia.",,,,,,,,,,
Achlyodes pallida,Consume,la hoja,Citrus sp.,HERBIVORÍA PARCIAL,SI,Interacción exclusivamente reportada para las larvas,Literatura Gris,"Caicedo-Hernández, J.C., Rodríguez-Villamil, D.R., Henao-Banol, E.R., Hernández-Schmidt, M. (2017) Mariposas y polillas diurnas de los parques urbanos el Virrey y Chicó y algunas de sus plantas hospederas. Bogotá, Colombia.",,,,,,,,,,
Atalopedes campestris,Anida en,la hoja,Poaceae sp.,ANIDAMIENTO,SI,,Literatura Gris,"Caicedo-Hernández, J.C., Rodríguez-Villamil, D.R., Henao-Banol, E.R., Hernández-Schmidt, M. (2017) Mariposas y polillas diurnas de los parques urbanos el Virrey y Chicó y algunas de sus plantas hospederas. Bogotá, Colombia.",,,,,,,,,,
Atalopedes campestris,Consume,la hoja,Poaceae sp.,HERBIVORÍA PARCIAL,SI,Interacción exclusivamente reportada para las larvas,Literatura Gris,"Caicedo-Hernández, J.C., Rodríguez-Villamil, D.R., Henao-Banol, E.R., Hernández-Schmidt, M. (2017) Mariposas y polillas diurnas de los parques urbanos el Virrey y Chicó y algunas de sus plantas hospederas. Bogotá, Colombia.",,,,,,,,,,
Atalopedes campestris,Anida en,parte no especificada,Eleusine indica ,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Atalopedes campestris,Consume,la hoja,Eleusine indica ,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Calpodes ethlius,Anida en,parte no especificada,Apium graveolens,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Calpodes ethlius,Consume,la hoja,Apium graveolens,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Calpodes ethlius,Anida en,la hoja,Canna indica,ANIDAMIENTO,SI,,Literatura Gris,"Caicedo-Hernández, J.C., Rodríguez-Villamil, D.R., Henao-Banol, E.R., Hernández-Schmidt, M. (2017) Mariposas y polillas diurnas de los parques urbanos el Virrey y Chicó y algunas de sus plantas hospederas. Bogotá, Colombia.",,,,,,,,,,
Calpodes ethlius,Consume,la hoja,Canna indica,HERBIVORÍA PARCIAL,SI,Interacción exclusivamente reportada para las larvas,Literatura Gris,"Caicedo-Hernández, J.C., Rodríguez-Villamil, D.R., Henao-Banol, E.R., Hernández-Schmidt, M. (2017) Mariposas y polillas diurnas de los parques urbanos el Virrey y Chicó y algunas de sus plantas hospederas. Bogotá, Colombia.",,,,,,,,,,
Hylephila phyleus,Anida en,parte no especificada,Axonopus compressus,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Hylephila phyleus,Consume,la hoja,Axonopus compressus,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Hylephila phyleus,Anida en,la hoja,Chusquea scandens,ANIDAMIENTO,SI,,Literatura Gris,"Caicedo-Hernández, J.C., Rodríguez-Villamil, D.R., Henao-Banol, E.R., Hernández-Schmidt, M. (2017) Mariposas y polillas diurnas de los parques urbanos el Virrey y Chicó y algunas de sus plantas hospederas. Bogotá, Colombia.",,,,,,,,,,
Hylephila phyleus,Consume,la hoja,Chusquea scandens,HERBIVORÍA PARCIAL,SI,Interacción exclusivamente reportada para las larvas,Literatura Gris,"Caicedo-Hernández, J.C., Rodríguez-Villamil, D.R., Henao-Banol, E.R., Hernández-Schmidt, M. (2017) Mariposas y polillas diurnas de los parques urbanos el Virrey y Chicó y algunas de sus plantas hospederas. Bogotá, Colombia.",,,,,,,,,,
Urbanus elmina,Anida en,la hoja,Fabaceae sp.,ANIDAMIENTO,SI,,Literatura Gris,"Caicedo-Hernández, J.C., Rodríguez-Villamil, D.R., Henao-Banol, E.R., Hernández-Schmidt, M. (2017) Mariposas y polillas diurnas de los parques urbanos el Virrey y Chicó y algunas de sus plantas hospederas. Bogotá, Colombia.",,,,,,,,,,
Urbanus elmina,Consume,la hoja,Fabaceae sp.,HERBIVORÍA PARCIAL,SI,Interacción exclusivamente reportada para las larvas,Literatura Gris,"Caicedo-Hernández, J.C., Rodríguez-Villamil, D.R., Henao-Banol, E.R., Hernández-Schmidt, M. (2017) Mariposas y polillas diurnas de los parques urbanos el Virrey y Chicó y algunas de sus plantas hospederas. Bogotá, Colombia.",,,,,,,,,,
Rhamma arria,Anida en,parte no especificada,Lupinus mutabilis,ANIDAMIENTO,SI,,Artículo Científico,"Callaghan, C., (2008) The biology of Rhamma arria in Colombia (Lepidotera:Lycaenida). Tropical Lepidoptera 18, 60-6.",,,,,,,,,,
Rhamma arria,Consume,general,Lupinus mutabilis,HERBIVORÍA PARCIAL,SI,Las larvas consumen cualquier parte de la planta hospedera,Artículo Científico,"Callaghan, C., (2008) The biology of Rhamma arria in Colombia (Lepidotera:Lycaenida). Tropical Lepidoptera 18, 60-6.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Apium graveolens,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Apium graveolens,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Daucus carota,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Daucus carota,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Allium cepa,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Allium cepa,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Asparagus officinalis,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Asparagus officinalis,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Helianthus annuus,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Helianthus annuus,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Lactuca sativa,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Lactuca sativa,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Sonchus asper,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Sonchus asper,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Brassica juncea,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Brassica juncea,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Brassica oleracea,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Brassica oleracea,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Brassica rapa,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Brassica rapa,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Raphanus sativus,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Raphanus sativus,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Beta vulgaris,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Beta vulgaris,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Chenopodium album,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Chenopodium album,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Spinacia oleracea,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Spinacia oleracea,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Rumex obtusifolius,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Rumex obtusifolius,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Cucumis sativus,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Cucumis sativus,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Cucurbita maxima,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Cucurbita maxima,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Cucurbita pepo,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Cucurbita pepo,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Camellia sinensis,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Camellia sinensis,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Medicago sativa,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Medicago sativa,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Phaseolus vulgaris,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Phaseolus vulgaris,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Vicia faba,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Vicia faba,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Mentha × piperita,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Mentha × piperita,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Stachys arvensis,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Stachys arvensis,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Ricinus communis,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Ricinus communis,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Linum usitatissimum,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Consume,la hoja,Linum usitatissimum,HERBIVORÍA PARCIAL,NO,Interacción exclusivamente reportada para las larvas,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
Agrotis ipsilon,Anida en,parte no especificada,Avena sativa,ANIDAMIENTO,NO,,Página Web,"Robinson, G.S., Ackery, P.R., Kitching, I.J., Beccaloni, G.W., Hernández, L.M. (2010) HOSTS-A database of the world's lepidopteran hostplants. Natural History Museum, London.",,,,,,,,,,
